f_frame_counter_left_camera,MRA2_ORG_CAN_S_Gaze_ROI,MRA2_ORG_MS_S_Gaze_ROI_X_Raw,MRA2_ORG_MS_S_Gaze_ROI_Y_Raw,MRA2_TARGET_NAME,MRA2_CALC_roi_idx_h,MRA2_CALC_roi_name_h,MRA2_CALC_roi_X,MRA2_CALC_roi_Y,CVT_CALC_roi_idx_h,CVT_CALC_roi_name_h,CVT_CALC_roi_X,CVT_CALC_roi_Y
45369.0000,3.0000,49.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,43.0000,29.0000,3.0000,   /Windshield    Driver   ,26,94
45370.0000,3.0000,48.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,43.0000,29.0000,3.0000,   /Windshield    Driver   ,26,94
45371.0000,3.0000,47.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,43.0000,29.0000,3.0000,   /Windshield    Driver   ,26,93
45372.0000,3.0000,47.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,43.0000,29.0000,3.0000,   /Windshield    Driver   ,27,91
45373.0000,3.0000,46.0000,50.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,43.0000,29.0000,3.0000,   /Windshield    Driver   ,26,91
45374.0000,3.0000,46.0000,50.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,43.0000,29.0000,3.0000,   /Windshield    Driver   ,26,92
45375.0000,3.0000,46.0000,51.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,29.0000,3.0000,   /Windshield    Driver   ,26,92
45376.0000,3.0000,46.0000,52.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,29.0000,3.0000,   /Windshield    Driver   ,26,89
45377.0000,3.0000,46.0000,52.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,29.0000,3.0000,   /Windshield    Driver   ,25,89
45378.0000,3.0000,46.0000,53.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,29.0000,3.0000,   /Windshield    Driver   ,27,89
45379.0000,3.0000,46.0000,54.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,29.0000,3.0000,   /Windshield    Driver   ,26,92
45380.0000,3.0000,46.0000,55.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,45.0000,30.0000,3.0000,   /Windshield    Driver   ,27,91
45381.0000,3.0000,46.0000,55.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,45.0000,31.0000,3.0000,   /Windshield    Driver   ,28,90
45382.0000,3.0000,46.0000,55.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,31.0000,3.0000,   /Windshield    Driver   ,28,91
45383.0000,3.0000,46.0000,55.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,31.0000,3.0000,   /Windshield    Driver   ,28,90
45384.0000,3.0000,46.0000,55.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,31.0000,3.0000,   /Windshield    Driver   ,29,91
45385.0000,3.0000,46.0000,55.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,31.0000,3.0000,   /Windshield    Driver   ,29,91
45386.0000,3.0000,45.0000,55.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,31.0000,3.0000,   /Windshield    Driver   ,30,91
45387.0000,3.0000,45.0000,53.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,30.0000,3.0000,   /Windshield    Driver   ,29,91
45388.0000,3.0000,44.0000,52.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,30.0000,3.0000,   /Windshield    Driver   ,29,92
45389.0000,3.0000,43.0000,50.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,30.0000,3.0000,   /Windshield    Driver   ,29,91
45390.0000,3.0000,43.0000,50.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,30.0000,3.0000,   /Windshield    Driver   ,29,89
